STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,DLY-TAVG-STDDEV
GHCND:USC00256290,606.6,42.4594,-98.6563,20100415,10.2
GHCND:USC00256290,606.6,42.4594,-98.6563,20100715,6.6
GHCND:USC00256290,606.6,42.4594,-98.6563,20101015,9.4
GHCND:USC00016121,271.9,33.94778,-86.46917,20100115,10.3
GHCND:USC00016121,271.9,33.94778,-86.46917,20100415,8.0
GHCND:USC00016121,271.9,33.94778,-86.46917,20100715,3.4
GHCND:USC00016121,271.9,33.94778,-86.46917,20101015,7.4
GHCND:USW00023136,23.5,34.21667,-119.08333,20100115,5.9
GHCND:USW00023136,23.5,34.21667,-119.08333,20100415,4.0
GHCND:USW00023136,23.5,34.21667,-119.08333,20100715,2.7
GHCND:USW00023136,23.5,34.21667,-119.08333,20101015,4.3
GHCND:USC00258465,338.3,40.3544,-96.1938,20100115,12.0
GHCND:USC00258465,338.3,40.3544,-96.1938,20100415,10.0
GHCND:USC00258465,338.3,40.3544,-96.1938,20100715,6.0
GHCND:USC00258465,338.3,40.3544,-96.1938,20101015,9.2
GHCND:USC00417140,6.1,28.6575,-96.55528,20100115,8.5
GHCND:USC00417140,6.1,28.6575,-96.55528,20100415,5.3
GHCND:USC00417140,6.1,28.6575,-96.55528,20100715,2.7
GHCND:USC00417140,6.1,28.6575,-96.55528,20101015,6.1
GHCND:USC00045532,46.6,37.28583,-120.51167,20100115,5.2
GHCND:USC00045532,46.6,37.28583,-120.51167,20100415,5.8
GHCND:USC00045532,46.6,37.28583,-120.51167,20100715,5.0
GHCND:USC00045532,46.6,37.28583,-120.51167,20101015,5.3
GHCND:USW00094704,197.8,42.5675,-77.7143,20100115,10.9
GHCND:USW00094704,208.8,42.57083,-77.71333,20100415,9.2
GHCND:USW00094704,208.8,42.57083,-77.71333,20100715,5.3
GHCND:USW00094704,208.8,42.57083,-77.71333,20101015,7.8
GHCND:USC00300063,185,42.4697,-73.9267,20100115,11.2
GHCND:USC00300063,185,42.4697,-73.9267,20100415,8.3
GHCND:USC00300063,185,42.4697,-73.9267,20100715,5.2
GHCND:USC00300063,185,42.4697,-73.9267,20101015,7.0
GHCND:USW00094740,506.9,44.38528,-74.20667,20100115,13.4
GHCND:USW00094740,506.9,44.38528,-74.20667,20100415,8.2
GHCND:USW00094740,506.9,44.38528,-74.20667,20100715,5.4
GHCND:USW00094740,506.9,44.38528,-74.20667,20101015,7.6
GHCND:USC00411800,238.7,32.3138,-97.4063,20100115,9.7
GHCND:USC00411800,238.7,32.3138,-97.4063,20100415,7.2
GHCND:USC00411800,238.7,32.3138,-97.4063,20100715,3.1
GHCND:USC00411800,238.7,32.3138,-97.4063,20101015,7.2
GHCND:USC00258480,338.3,41.7861,-96.2263,20100115,12.4
GHCND:USC00258480,338.3,41.7861,-96.2263,20100415,10.0
GHCND:USC00258480,338.3,41.7861,-96.2263,20100715,5.5
GHCND:USC00258480,338.3,41.7861,-96.2263,20101015,8.9
GHCND:USC00410958,934.8,35.63639,-101.45417,20100115,10.0
GHCND:USC00410958,934.8,35.63639,-101.45417,20100415,8.7
GHCND:USC00410958,934.8,35.63639,-101.45417,20100715,4.9
GHCND:USC00410958,934.8,35.63639,-101.45417,20101015,7.8
GHCND:USC00089566,12.8,30.11917,-85.20417,20100115,9.1
GHCND:USC00089566,12.8,30.11917,-85.20417,20100415,6.0
GHCND:USC00089566,12.8,30.11917,-85.20417,20100715,2.6
GHCND:USC00089566,12.8,30.11917,-85.20417,20101015,6.3
GHCND:USC00414081,128,32.1822,-94.7966,20100115,10.1
GHCND:USC00414081,128,32.1822,-94.7966,20100415,7.4
GHCND:USC00414081,128,32.1822,-94.7966,20100715,3.5
GHCND:USC00414081,128,32.1822,-94.7966,20101015,7.5
GHCND:USC00418446,80.2,30.33667,-96.54028,20100115,9.4
GHCND:USC00418446,80.2,30.33667,-96.54028,20100415,6.9
GHCND:USC00418446,80.2,30.33667,-96.54028,20100715,3.2
GHCND:USC00418446,80.2,30.33667,-96.54028,20101015,7.4
GHCND:USC00044211,1639.8,33.7572,-116.7066,20100115,6.6
GHCND:USC00044211,1639.8,33.7572,-116.7066,20100415,7.4
GHCND:USC00044211,1639.8,33.7572,-116.7066,20100715,5.1
GHCND:USC00044211,1639.8,33.7572,-116.7066,20101015,6.6
GHCND:USC00300055,134.1,43.2722,-78.1666,20100115,10.6
GHCND:USC00300055,134.1,43.2722,-78.1666,20100415,9.0
GHCND:USC00300055,134.1,43.2722,-78.1666,20100715,5.6
GHCND:USC00300055,134.1,43.2722,-78.1666,20101015,7.6
GHCND:USC00417111,130.8,28.9605,-98.4772,20100115,8.8
GHCND:USC00417111,130.8,28.9605,-98.4772,20100415,6.8
GHCND:USC00417111,130.8,28.9605,-98.4772,20100715,3.0
GHCND:USC00417111,130.8,28.9605,-98.4772,20101015,6.9
GHCND:USC00250525,652.3,41.8277,-98.5494,20100115,12.9
GHCND:USC00250525,652.3,41.8277,-98.5494,20100415,9.9
GHCND:USC00250525,652.3,41.8277,-98.5494,20100715,6.3
GHCND:USC00250525,652.3,41.8277,-98.5494,20101015,8.9
GHCND:USW00023110,70.7,36.33333,-119.95,20100115,5.3
GHCND:USW00023110,70.7,36.33333,-119.95,20100415,6.4
GHCND:USW00023110,70.7,36.33333,-119.95,20100715,4.9
GHCND:USW00023110,70.7,36.33333,-119.95,20101015,5.8
GHCND:USC00082944,4,30.65889,-81.46361,20100115,8.5
GHCND:USC00082944,4,30.65889,-81.46361,20100415,5.7
GHCND:USC00418449,651.7,30.583,-100.6502,20100115,8.4
GHCND:USC00418449,651.7,30.583,-100.6502,20100415,7.5
GHCND:USC00418449,651.7,30.583,-100.6502,20100715,3.6
GHCND:USC00418449,651.7,30.583,-100.6502,20101015,6.8
GHCND:USC00411810,59.7,30.36361,-95.08389,20100115,9.7
GHCND:USC00411810,59.7,30.36361,-95.08389,20100415,6.8
GHCND:USC00411810,59.7,30.36361,-95.08389,20100715,2.8
GHCND:USC00411810,59.7,30.36361,-95.08389,20101015,7.2
GHCND:USW00094728,42.7,40.77898,-73.96925,20100115,9.9
GHCND:USW00094728,42.7,40.77898,-73.96925,20100415,7.7
GHCND:USW00094728,42.7,40.77898,-73.96925,20100715,5.1
